run,variant,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
mask_ratio_010/masked_bimamba/fold_3/seed_3407,mask_ratio_010,masked_bimamba,fold_3,seed_3407,0.8585979628520072,0.49712643678160917,0.7393162393162394,0.8780487804878049,0.5945017182130584,0.8582536704487924,1260,175,61,173,0.21814947141308746,0.6842105263157895,0.6046511627906976,0.9629629629629629,0.43333333333333335,0.7428571428571429,0.8444444444444444,13,17,1,26,0.9259259259259259,25,27,20,184.6153846153846,0.07200000000000001,31
mask_ratio_010/masked_bimamba/fold_3/seed_42,mask_ratio_010,masked_bimamba,fold_3,seed_42,0.8496105452366687,0.477088948787062,0.7564102564102564,0.864808362369338,0.5851239669421487,0.8367521367521367,1241,194,57,177,0.16542333053562225,0.6842105263157895,0.6046511627906976,0.9629629629629629,0.43333333333333335,0.7428571428571429,0.874074074074074,13,17,1,26,0.8888888888888888,24,27,27,249.23076923076923,-0.05833333333333333,25
mask_ratio_020/masked_bimamba/fold_0/seed_2026,mask_ratio_020,masked_bimamba,fold_0,seed_2026,0.8719951923076923,0.7134670487106017,0.6878453038674033,0.9231950844854071,0.70042194092827,0.865164939616909,1202,100,113,249,0.8202861263348903,0.7096774193548387,0.6511627906976745,0.9032258064516129,0.5161290322580645,0.7567567567567568,0.8511966701352757,16,15,3,28,0.9032258064516129,28,31,21,193.25153374233122,0.41428571428571426,87
mask_ratio_020/masked_bimamba/fold_0/seed_3407,mask_ratio_020,masked_bimamba,fold_0,seed_3407,0.8191105769230769,0.5792207792207792,0.6160220994475138,0.8755760368663594,0.5970548862115127,0.8331826938581528,1140,162,139,223,0.7257557032801112,0.7580645161290323,0.6904761904761905,0.9354838709677419,0.5806451612903226,0.7945205479452055,0.890738813735692,18,13,2,29,0.9354838709677419,29,31,17,156.44171779141098,0.613793103448276,76
mask_ratio_020/masked_bimamba/fold_0/seed_42,mask_ratio_020,masked_bimamba,fold_0,seed_42,0.8611778846153846,0.6701298701298701,0.712707182320442,0.9024577572964669,0.6907630522088354,0.9006394751805551,1175,127,104,258,0.180664367987237,0.7258064516129032,0.6458333333333334,1.0,0.45161290322580644,0.7848101265822784,0.9261186264308012,14,17,0,31,1.0,31,31,21,193.25153374233122,0.335483870967742,35
mask_ratio_020/masked_bimamba/fold_1/seed_2026,mask_ratio_020,masked_bimamba,fold_1,seed_2026,0.8310176492677431,0.5020746887966805,0.5353982300884956,0.8914518317503393,0.5182012847965739,0.7763285343195527,1971,240,210,242,0.31373468701704255,0.6282051282051282,0.5925925925925926,0.8205128205128205,0.4358974358974359,0.6881720430107526,0.7810650887573964,17,22,7,32,0.7948717948717948,31,39,32,188.97637795275597,0.32258064516129037,23
mask_ratio_020/masked_bimamba/fold_1/seed_3407,mask_ratio_020,masked_bimamba,fold_1,seed_3407,0.8456627863312054,0.5386064030131826,0.6327433628318584,0.8891904115784712,0.5818921668362157,0.8027201082279671,1966,245,166,286,0.8664143549437854,0.6538461538461539,0.603448275862069,0.8974358974358975,0.41025641025641024,0.7216494845360825,0.8159105851413544,16,23,4,35,0.8974358974358975,35,39,29,171.2598425196851,0.297142857142857,90
mask_ratio_020/masked_bimamba/fold_1/seed_42,mask_ratio_020,masked_bimamba,fold_1,seed_42,0.8351483289523094,0.5117967332123412,0.6238938053097345,0.8783355947535052,0.5623130608175474,0.8079083664541332,1942,269,170,282,0.5648824072598053,0.6538461538461539,0.59375,0.9743589743589743,0.3333333333333333,0.7378640776699028,0.8198553583168968,13,26,1,38,0.9743589743589743,38,39,40,236.22047244094495,0.32631578947368406,75
mask_ratio_020/masked_bimamba/fold_2/seed_2026,mask_ratio_020,masked_bimamba,fold_2,seed_2026,0.8841430859583556,0.6402116402116402,0.7492260061919505,0.912258064516129,0.6904422253922967,0.930226705283132,1414,136,81,242,0.048080020934717256,0.746031746031746,0.6666666666666666,0.967741935483871,0.53125,0.7894736842105263,0.9475806451612903,17,15,1,30,0.967741935483871,30,31,22,181.40174072377462,0.3866666666666667,22
mask_ratio_020/masked_bimamba/fold_2/seed_3407,mask_ratio_020,masked_bimamba,fold_2,seed_3407,0.9113721302722905,0.752411575562701,0.7244582043343654,0.9503225806451613,0.7381703470031546,0.921260361530011,1473,77,89,234,0.2591201760059072,0.7936507936507936,0.7142857142857143,0.967741935483871,0.625,0.821917808219178,0.9415322580645161,20,12,1,30,0.967741935483871,30,31,17,140.1740723774622,0.20666666666666667,67
