run,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
tcnte/fold_1/seed_2026,tcnte,fold_1,seed_2026,0.8126173488546752,0.46215780998389694,0.6349557522123894,0.8489371325192221,0.5349487418452936,0.8137620425627294,1877,334,165,287,0.18503083627205166,0.6666666666666666,0.6031746031746031,0.9743589743589743,0.358974358974359,0.7450980392156863,0.8356344510190664,14,25,1,38,0.9743589743589743,38,39,46,271.6535433070867,0.23684210526315788,65
tcnte/fold_1/seed_3407,tcnte,fold_1,seed_3407,0.840781073976718,0.5219435736677116,0.7367256637168141,0.862053369516056,0.6110091743119266,0.84145543401256,1906,305,119,333,0.21804595932258147,0.5769230769230769,0.5428571428571428,0.9743589743589743,0.1794871794871795,0.6972477064220183,0.9040105193951348,7,32,1,38,0.9743589743589743,38,39,55,324.8031496062993,0.16842105263157894,97
tcnte/fold_1/seed_42,tcnte,fold_1,seed_42,0.840781073976718,0.5238095238095238,0.6814159292035398,0.8733604703753958,0.5923076923076923,0.8261158007228538,1931,280,144,308,0.2764831068666106,0.6923076923076923,0.6229508196721312,0.9743589743589743,0.41025641025641024,0.76,0.8954635108481263,16,23,1,38,0.9743589743589743,38,39,35,206.69291338582684,0.18947368421052635,94
tcnte/fold_2/seed_2026,tcnte,fold_2,seed_2026,0.9017618793379605,0.6666666666666666,0.8606811145510835,0.9103225806451613,0.7513513513513512,0.9370058923399579,1411,139,45,278,0.04283403074920766,0.6984126984126984,0.62,1.0,0.40625,0.7654320987654321,0.9868951612903226,13,19,0,31,1.0,31,31,37,305.08474576271186,0.051612903225806486,66
tcnte/fold_2/seed_3407,tcnte,fold_2,seed_3407,0.8686599038974907,0.5784114052953157,0.8792569659442725,0.8664516129032258,0.6977886977886979,0.9446100069909119,1343,207,39,284,0.05172701302699017,0.6984126984126984,0.62,1.0,0.40625,0.7654320987654321,0.9465725806451613,13,19,0,31,1.0,31,31,36,296.83921209344936,-0.019354838709677444,74
tcnte/fold_2/seed_42,tcnte,fold_2,seed_42,0.8980245595301655,0.6864406779661016,0.7523219814241486,0.9283870967741935,0.7178729689807976,0.9174613003095975,1439,111,80,243,0.045643162543179835,0.7142857142857143,0.6382978723404256,0.967741935483871,0.46875,0.7692307692307693,0.9556451612903226,15,17,1,30,0.967741935483871,30,31,25,206.13834173156206,0.2800000000000001,27
tcnte/fold_3/seed_2026,tcnte,fold_3,seed_2026,0.8579988016776513,0.4954682779456193,0.7008547008547008,0.883623693379791,0.5805309734513273,0.8796301259715893,1268,167,70,164,0.1373116266733753,0.7543859649122807,0.6666666666666666,0.9629629629629629,0.5666666666666667,0.7878787878787878,0.8407407407407408,17,13,1,26,0.9629629629629629,26,27,16,147.69230769230768,0.17692307692307693,90
tcnte/fold_3/seed_3407,tcnte,fold_3,seed_3407,0.823247453565009,0.42650602409638555,0.7564102564102564,0.8341463414634146,0.5454545454545454,0.863527800113166,1197,238,57,177,0.1098682478655056,0.6666666666666666,0.5909090909090909,0.9629629629629629,0.4,0.732394366197183,0.7851851851851851,12,18,1,26,0.9629629629629629,26,27,23,212.3076923076923,-0.09230769230769229,51
tcnte/fold_3/seed_42,tcnte,fold_3,seed_42,0.8687837028160575,0.5263157894736842,0.6410256410256411,0.9059233449477352,0.5780346820809249,0.8642306203281813,1300,135,84,150,0.1422755106153059,0.7017543859649122,0.631578947368421,0.8888888888888888,0.5333333333333333,0.7384615384615385,0.825925925925926,16,14,3,24,0.8518518518518519,23,27,19,175.3846153846154,0.16521739130434782,65
te/fold_0/seed_2026,te,fold_0,seed_2026,0.8713942307692307,0.7078651685393258,0.6961325966850829,0.9201228878648233,0.7019498607242339,0.8781666115029152,1198,104,110,252,0.15456217017848617,0.7419354838709677,0.6666666666666666,0.967741935483871,0.5161290322580645,0.7894736842105263,0.9011446409989594,16,15,1,30,0.967741935483871,30,31,19,174.8466257668711,0.4133333333333334,97
te/fold_0/seed_3407,te,fold_0,seed_3407,0.8515625,0.6696165191740413,0.6270718232044199,0.9139784946236559,0.6476462196861626,0.8679931427213551,1190,112,135,227,0.13864941829636407,0.7580645161290323,0.6904761904761905,0.9354838709677419,0.5806451612903226,0.7945205479452055,0.8896982310093653,18,13,2,29,0.9354838709677419,29,31,16,147.23926380368093,0.5517241379310345,90
te/fold_0/seed_42,te,fold_0,seed_42,0.8689903846153846,0.7057142857142857,0.6823204419889503,0.9208909370199693,0.6938202247191011,0.8809778411453691,1199,103,115,247,0.11099401206369154,0.7580645161290323,0.6818181818181818,0.967741935483871,0.5483870967741935,0.8,0.9032258064516129,17,14,1,30,0.967741935483871,30,31,16,147.23926380368093,0.26,76
te/fold_1/seed_2026,te,fold_1,seed_2026,0.8569282763800226,0.565377532228361,0.6792035398230089,0.8932609678878336,0.6170854271356783,0.8511405162442014,1975,236,145,307,0.13584423317828215,0.6538461538461539,0.6,0.9230769230769231,0.38461538461538464,0.7272727272727274,0.8612754766600922,15,24,3,36,0.9230769230769231,36,39,40,236.22047244094495,0.20555555555555557,97
te/fold_1/seed_3407,te,fold_1,seed_3407,0.843409688321442,0.5278219395866455,0.7345132743362832,0.8656716417910447,0.6142460684551342,0.860841608530157,1914,297,120,332,0.08475877182894616,0.6794871794871795,0.609375,1.0,0.358974358974359,0.7572815533980582,0.9040105193951348,14,25,0,39,1.0,39,39,44,259.84251968503946,0.17948717948717957,60
